,urban1970,urban1960,urban1950,urban1940,urban1930,urban1920,urban1910,urban1900,,
1,0.586,0.548,0.438,0.302,0.281,0.217,0.173,0.119,,
2,0.569,0.379,0.266,0.24,0.132,0.056,0.095,0.245,,
3,0.796,0.745,0.555,0.348,0.344,0.361,0.31,0.159,,
4,0.5,0.428,0.33,0.222,0.206,0.166,0.129,0.085,,
5,0.909,0.864,0.807,0.71,0.733,0.679,0.618,0.523,,
6,0.785,0.737,0.627,0.526,0.502,0.482,0.503,0.483,,
7,0.784,0.783,0.776,0.678,0.704,0.678,0.656,0.599,,
8,0.722,0.656,0.626,0.523,0.517,0.542,0.48,0.464,,
9,1,1,1,1,1,1,1,1,,
10,0.817,0.739,0.655,0.551,0.517,0.365,0.291,0.203,,
11,0.603,0.553,0.453,0.344,0.308,0.251,0.206,0.156,,
12,0.831,0.765,0.69,0.625,0.537,0.361,0.307,0.255,,
13,0.541,0.475,0.429,0.337,0.291,0.276,0.215,0.062,,
14,0.832,0.807,0.776,0.736,0.739,0.679,0.617,0.543,,
15,0.649,0.624,0.599,0.551,0.555,0.506,0.424,0.343,,
16,0.572,0.53,0.477,0.427,0.396,0.364,0.306,0.256,,
17,0.661,0.61,0.521,0.419,0.388,0.348,0.291,0.224,,
18,0.523,0.445,0.368,0.298,0.306,0.262,0.243,0.218,,
19,0.665,0.633,0.548,0.415,0.397,0.349,0.3,0.265,,
20,0.508,0.513,0.517,0.405,0.403,0.39,0.353,0.335,,
21,0.766,0.727,0.69,0.593,0.598,0.6,0.508,0.498,,
22,0.846,0.836,0.844,0.894,0.902,0.9,0.89,0.86,,
23,0.74,0.734,0.707,0.657,0.682,0.611,0.472,0.393,,
24,0.665,0.622,0.545,0.498,0.49,0.441,0.41,0.341,,
25,0.445,0.377,0.279,0.198,0.169,0.134,0.115,0.077,,
26,0.701,0.666,0.615,0.518,0.512,0.466,0.423,0.363,,
27,0.534,0.502,0.437,0.378,0.337,0.313,0.355,0.347,,
28,0.615,0.543,0.469,0.391,0.353,0.313,0.261,0.237,,
29,0.809,0.704,0.572,0.393,0.378,0.197,0.163,0.17,,
30,0.564,0.583,0.575,0.576,0.587,0.565,0.518,0.467,,
31,0.889,0.886,0.866,0.816,0.826,0.799,0.764,0.706,,
32,0.698,0.659,0.502,0.332,0.252,0.18,0.142,0.14,,
33,0.857,0.854,0.855,0.828,0.836,0.827,0.789,0.729,,
34,0.455,0.395,0.337,0.273,0.255,0.192,0.144,0.099,,
35,0.443,0.352,0.266,0.206,0.166,0.136,0.11,0.073,,
36,0.753,0.734,0.702,0.668,0.678,0.638,0.559,0.481,,
37,0.68,0.629,0.51,0.376,0.343,0.265,0.192,0.074,,
38,0.671,0.622,0.539,0.488,0.513,0.498,0.456,0.322,,
